epoch,split,loss,accuracy,balanced_accuracy,sensitivity_melanoma,specificity,precision_melanoma,f1_melanoma,auc
14,train,0.022309745992198936,0.99375589066918,0.9893964899935754,0.9838187702265372,0.9949742097606137,0.96,0.9717634523175279,0.999667857841444
14,val,0.5878120792325837,0.7157825802226588,0.7177840321377884,0.7204301075268817,0.715137956748695,0.2596899224806202,0.3817663817663818,0.7923051325844139
15,train,0.017018955410473234,0.9948162111215834,0.9909381403777147,0.9859762675296656,0.9959000132257638,0.9671957671957672,0.9764957264957265,0.9998403491944055
15,val,0.4913644750834917,0.808120497707924,0.6939513122128407,0.543010752688172,0.8448918717375093,0.3268608414239482,0.4080808080808081,0.7760397873517596
16,train,0.01595202965363329,0.9964655984919887,0.9947034168839216,0.9924487594390508,0.9969580743287925,0.975609756097561,0.983957219251337,0.9996910421630787
16,val,0.44267934611519727,0.8428290766208252,0.6511991532558754,0.3978494623655914,0.9045488441461595,0.36633663366336633,0.38144329896907214,0.7497915213329804
17,train,0.012691367286010077,0.9972902921771913,0.9942198276028111,0.9902912621359223,0.9981483930696998,0.9849785407725322,0.9876277568585261,0.9998529043962752
17,val,0.43699083103021924,0.8447937131630648,0.6731555651776479,0.44623655913978494,0.9000745712155108,0.3824884792626728,0.4119106699751861,0.7550475892649523
18,train,0.011947960349517792,0.9971724787935909,0.9951001897975573,0.9924487594390508,0.997751620156064,0.9818569903948773,0.9871244635193133,0.9999165364421154
18,val,0.415060060997765,0.8461034708578913,0.6715859613672993,0.44086021505376344,0.9023117076808352,0.38497652582159625,0.41102756892230574,0.7715615052159759
19,train,0.012121146214800399,0.9978793590951932,0.995970208218036,0.9935275080906149,0.9984129083454569,0.9871382636655949,0.9903225806451613,0.9997359840788627
19,val,0.39578298838917697,0.8552717747216765,0.6721753145221429,0.43010752688172044,0.9142431021625652,0.41025641025641024,0.4199475065616798,0.7670290988108697
20,train,0.006267070468640597,0.9985862393967955,0.9977867176522002,0.9967637540453075,0.9988096812590928,0.9903536977491961,0.9935483870967742,0.9999727495050326
20,val,0.34061707678228403,0.8781925343811395,0.5648288470327874,0.15053763440860216,0.9791200596569725,0.5,0.23140495867768596,0.7547288574567206
21,train,0.013508427916777064,0.998114985862394,0.9942094838285434,0.9892125134843581,0.9992064541727285,0.9934994582881906,0.9913513513513513,0.9998820096369735
21,val,0.3549920137832582,0.8742632612966601,0.5950061340838565,0.22580645161290322,0.9642058165548099,0.4666666666666667,0.30434782608695654,0.7392533256356595
